"Name","Host_name","Area","Price/night($)"
"Truly Amazing Oasis In The City","Daniel","Brooklyn","249"
"Holiday Time in NY - Oh My!!","Ivy","Brooklyn","79"
"East Village, King-Sized, Charmer","Dave","Manhattan","185"
"Affordable Furnished Apartment","Mark","Brooklyn","120"
"Architect's Brownstone","Orna","Brooklyn","495"
"LUXURY SOHO 2 Bedroom Apt ","Allison","Manhattan","375"
"Charming Nolita Apartment!!","Vanessa","Manhattan","175"
"EAST VILLAGE STUDIO, sunny & quiet","Josh","Manhattan","150"
"LUXURY OF THE HORIZON","Rinaldo","Manhattan","259"
"1 Bdrm in 4 Bdrm dupelx/roof deck","Jonathan","Manhattan","96"
"The Heart of Prime Williamsburg","Oliver","Brooklyn","145"
"Parisian apartment in Chelsea","Kristin","Manhattan","200"
"Cozy 2 Bedroom with Private Garden","Carolyn","Manhattan","95"
"Three-bedroom house in a quiet neighborhood","Meighan","Brooklyn","250"
"Beautiful Duplex w/Private Garden","Julie","Manhattan","295"
"NYC - Sunny Greenwich Village 1br","John","Manhattan","175"
"Garage Designer Loft","Mihalis","Brooklyn","451"
"Best City Area Columbia U Upper West Side C Park","B.","Manhattan","165"
"Your own apartment off Park Avenue","Nancy","Manhattan","250"
"Artsy 1 bedroom Apt. 20 min to 42nd Grand Central!","Dee, Dre & Mama Shelley","Bronx","77"
"Lower East Side 2 Bed Apt.","Peter","Manhattan","250"
"Astoria-Private Home NYC-","Gladys & Bob","Queens","129"
"BIG, COMFY , PRIV. ROOM, BIG APT, YARD, GREAT LOC.","M","Brooklyn","98"
"Park Slope Apartment","Wendy","Brooklyn","150"
"CHARMING PRIVATE BEDROOM EAST VILLAGE","Ewelina","Manhattan","95"
"City Room - Semi Private Bedroom","Wayne","Manhattan","55"
"Cozy apartment in a brownstone","William","Manhattan","300"
"Female Only Clean15min to Manhattan","Lucy","Queens","42"
"Greenpoint Spacious Loft","Pat","Brooklyn","125"
"Private E. Village Townhouse Stay","Donna","Manhattan","175"
"Harlem/Hamilton Heights Cozy Room","Kimberly","Manhattan","75"
"Incredible Prime Williamsburg Loft!","Meredith","Brooklyn","255"
"Large  Loft Style  Studio  Space","Tokunbo","Brooklyn","72"
"Hancock Town House!-Stuyvesant Mews","Fred","Brooklyn","165"
"Entire Apt in Heart of Williamsburg","Laura","Brooklyn","165"
"Clinton Hill + Free Coffee = #smile","Pepe","Brooklyn","75"
"Nice, cozy, neat apt Greenpoint,BK","Lennny & Megan","Brooklyn","130"
"PRIVATE and SUNNY Williamsburg Apt!","Amia","Brooklyn","139"
"Purple Room for 2/3 in brownstone $1450 per month","JT And Tiziana","Brooklyn","88"
"Red Room for two in Brownstone for $1355/mo","JT And Tiziana","Brooklyn","80"
"Chelsea living, 2BR best location","Kaye","Manhattan","150"
"LOCATION LOCATION LOCATION UWS 60's","Ligia","Manhattan","200"
"In the heart of East Village","James","Manhattan","200"
"Sunny 15min to Manhattan LADY only","Lucy","Queens","42"
"Surfer room 15mins to downtown NYC!","Alain","Brooklyn","90"
"Manhattan Penthouse-Max.12 guests","Robert ""Bob""","Manhattan","295"
"Prime Williamsburg 3 BR with Deck","Andres","Brooklyn","450"
"Beautiful Brooklyn Oasis ","Placid","Brooklyn","130"
"Blue Room in Awesome Artist's Apartment!","Jsun","Brooklyn","89"
"Cool & Spacious Harlem Artist Flat","Jorin","Manhattan","198"
"â˜† STUDIO East Village â˜† Own bath! â˜† Sleeps 4 â˜†","Seith","Manhattan","99"
"Greenpoint Loft / Le Chez Andrea","Andrea","Brooklyn","46"
"*SoHo: Clean, Safe, Private, Peaceful Bedroom (A)*","Jade","Manhattan","140"
"Amazing Brownstone in Best Brooklyn","Smadar","Brooklyn","500"
"Couldn't Be Closer To Columbia Uni2","Rahul","Manhattan","75"
"Lady only Curtain-divided room","Lucy","Queens","33"
"Nice Manhattan Apt Near Central Park and Subway","Giancarlo","Manhattan","250"
"LG Private Room/Family Friendly","Wanda","Brooklyn","60"
"Spacious Quiet rm - 20mins to Midtown","Yvette","Manhattan","75"
"3 BR, Beautiful Brooklyn Duplex","Jilly","Brooklyn","350"
"Spacious modern studio apartment in Manhattan","Daniel","Manhattan","205"
"Gorgeous Duplex + Garden","Adam","Brooklyn","219"
"CBG# 4Tiny room w/ huge window/AC","Lisel","Brooklyn","60"
"Charming upper west side apartment","Barbara","Manhattan","185"
"Light-filled East Village Delight","Chris","Manhattan","190"
"Sunny, quiet, legal homelike suite-Pk Slope South","Sara","Brooklyn","105"
"Spacious Duplex in Brownstone!","Benton","Manhattan","250"
"Lovely Vintage Havenâ€”Heart of UWS","Linda & Chris","Manhattan","175"
"Modern Space in Charming Pre-war","Alec","Manhattan","65"
"Warehouse Loft with Garden view","Julia","Brooklyn","75"
" Affordable & Cozy ","Vanessa","Bronx","37"
"Creative Vintage Loft in S. Williamsburg","Ali & SweetPea","Brooklyn","85"
"Very close to Downtown Awesome Private Apartment","Jeffrey","Brooklyn","106"
"The Happy home!","Lena","Manhattan","79"
"Fort Greene, Brooklyn: Front Bedroom","Doug","Brooklyn","85"
"Gorgeous 1 bdrm in huge duplex!","Benton","Manhattan","170"
"Sunny, cozy room in Lower East Side","Cheryl","Manhattan","115"
"Large Quiet Bedroom Near Columbia U","Jorin","Manhattan","89"
"Cozy Pre-War Harlem Apartment","Lewis","Manhattan","49"
"spacious studio","Jane","Brooklyn","91"
"Elegant 2-BR duplex, Union Square","Donna","Manhattan","400"
"Cozy private family home in Bushwick","Kris","Brooklyn","150"
"Luxury 2Bed/2.5Bath Central Park View","Henry","Manhattan","2000"
"Cosy Sunny 1brm in Prospect Heights","Jennifer","Brooklyn","97"
"East Village bedroom w rooftop","Cj","Manhattan","100"
